dataset,algorithm,corr_threshold,const_threshold,seed,line_number
dados_atuais_listagem_nominal-dv.csv,rf,0.85,0.1,411,216
dados_atuais_listagem_nominal-dv.csv,rf,0.85,0.1,89,217
dados_atuais_listagem_nominal-dv.csv,rf,0.85,0.1,356,218
dados_atuais_listagem_nominal-dv.csv,rf,0.85,0.1,27,219
dados_atuais_listagem_nominal-dv.csv,rf,0.85,0.1,489,220
dados_atuais_listagem_nominal-dv.csv,rf,0.85,0.15,145,221
dados_atuais_listagem_nominal-dv.csv,rf,0.85,0.15,278,222
dados_atuais_listagem_nominal-dv.csv,rf,0.85,0.15,392,223
dados_atuais_listagem_nominal-dv.csv,rf,0.85,0.15,49,224
dados_atuais_listagem_nominal-dv.csv,rf,0.85,0.15,203,225
dados_atuais_listagem_nominal-dv.csv,rf,0.85,0.15,411,226
dados_atuais_listagem_nominal-dv.csv,rf,0.85,0.15,89,227
dados_atuais_listagem_nominal-dv.csv,rf,0.85,0.15,356,228
dados_atuais_listagem_nominal-dv.csv,rf,0.85,0.15,27,229
dados_atuais_listagem_nominal-dv.csv,rf,0.85,0.15,489,230
dados_atuais_listagem_nominal-dv.csv,rf,0.85,0.2,145,231
dados_atuais_listagem_nominal-dv.csv,rf,0.85,0.2,278,232
dados_atuais_listagem_nominal-dv.csv,rf,0.85,0.2,392,233
dados_atuais_listagem_nominal-dv.csv,rf,0.85,0.2,49,234
dados_atuais_listagem_nominal-dv.csv,rf,0.85,0.2,203,235
dados_atuais_listagem_nominal-dv.csv,rf,0.85,0.2,411,236
dados_atuais_listagem_nominal-dv.csv,rf,0.85,0.2,89,237
dados_atuais_listagem_nominal-dv.csv,rf,0.85,0.2,356,238
dados_atuais_listagem_nominal-dv.csv,rf,0.85,0.2,27,239
dados_atuais_listagem_nominal-dv.csv,rf,0.85,0.2,489,240
dados_atuais_listagem_nominal-dv.csv,rf,0.9,0.05,145,241
dados_atuais_listagem_nominal-dv.csv,rf,0.9,0.05,278,242
dados_atuais_listagem_nominal-dv.csv,rf,0.9,0.05,392,243
dados_atuais_listagem_nominal-dv.csv,rf,0.9,0.05,49,244
dados_atuais_listagem_nominal-dv.csv,rf,0.9,0.05,203,245
dados_atuais_listagem_nominal-dv.csv,rf,0.9,0.05,411,246
dados_atuais_listagem_nominal-dv.csv,rf,0.9,0.05,89,247
dados_atuais_listagem_nominal-dv.csv,rf,0.9,0.05,356,248
dados_atuais_listagem_nominal-dv.csv,rf,0.9,0.05,27,249
dados_atuais_listagem_nominal-dv.csv,rf,0.9,0.05,489,250
dados_atuais_listagem_nominal-dv.csv,rf,0.9,0.1,145,251
dados_atuais_listagem_nominal-dv.csv,rf,0.9,0.1,278,252
dados_atuais_listagem_nominal-dv.csv,rf,0.9,0.1,392,253
dados_atuais_listagem_nominal-dv.csv,rf,0.9,0.1,49,254
dados_atuais_listagem_nominal-dv.csv,rf,0.9,0.1,203,255
dados_atuais_listagem_nominal-dv.csv,rf,0.9,0.1,411,256
dados_atuais_listagem_nominal-dv.csv,rf,0.9,0.1,89,257
dados_atuais_listagem_nominal-dv.csv,rf,0.9,0.1,356,258
dados_atuais_listagem_nominal-dv.csv,rf,0.9,0.1,27,259
dados_atuais_listagem_nominal-dv.csv,rf,0.9,0.1,489,260
dados_atuais_listagem_nominal-dv.csv,rf,0.9,0.15,145,261
dados_atuais_listagem_nominal-dv.csv,rf,0.9,0.15,278,262
dados_atuais_listagem_nominal-dv.csv,rf,0.9,0.15,392,263
dados_atuais_listagem_nominal-dv.csv,rf,0.9,0.15,49,264
dados_atuais_listagem_nominal-dv.csv,rf,0.9,0.15,203,265
dados_atuais_listagem_nominal-dv.csv,rf,0.9,0.15,411,266
dados_atuais_listagem_nominal-dv.csv,rf,0.9,0.15,89,267
dados_atuais_listagem_nominal-dv.csv,rf,0.9,0.15,356,268
dados_atuais_listagem_nominal-dv.csv,rf,0.9,0.15,27,269
dados_atuais_listagem_nominal-dv.csv,rf,0.9,0.15,489,270
dados_atuais_listagem_nominal-dv.csv,rf,0.9,0.2,145,271
dados_atuais_listagem_nominal-dv.csv,rf,0.9,0.2,278,272
dados_atuais_listagem_nominal-dv.csv,rf,0.9,0.2,392,273
dados_atuais_listagem_nominal-dv.csv,rf,0.9,0.2,49,274
dados_atuais_listagem_nominal-dv.csv,rf,0.9,0.2,203,275
dados_atuais_listagem_nominal-dv.csv,rf,0.9,0.2,411,276
